kStretchTreeDepth	kLongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
21	16	5000000	4	18	6177	195248128	16208
21	16	5000000	4	18	6177	195248128	16880
21	16	5000000	4	18	6220	195248128	16179
21	16	5000000	4	18	6182	195248128	16305
21	16	5000000	4	18	6206	195248128	15995
21	16	5000000	4	18	6207	195248128	16320
21	16	5000000	4	18	6165	195248128	16536
21	16	5000000	4	18	6182	195248128	16458
21	16	5000000	4	18	6187	195248128	15797
21	16	5000000	4	18	6196	195248128	16487
21	16	5000000	4	18	6184	195248128	16904
21	16	5000000	4	18	6173	195248128	16131
21	16	5000000	4	18	6183	195248128	16703
21	16	5000000	4	18	6204	195248128	16192
21	16	5000000	4	18	6195	195248128	16600
21	16	5000000	4	18	6207	195248128	16856
21	16	5000000	4	18	6173	195248128	16516
21	16	5000000	4	18	6180	195248128	16215
21	16	5000000	4	18	6189	195248128	16145
21	16	5000000	4	18	6168	195248128	16520
21	16	5000000	4	18	6197	195248128	17510
21	16	5000000	4	18	6203	195248128	16801
21	17	5000000	4	18	4443	195248128	20008
21	17	5000000	4	18	4457	203636736	19711
21	17	5000000	4	18	4430	195248128	20601
21	17	5000000	4	18	4446	195248128	20657
21	17	5000000	4	18	4440	195248128	20622
21	17	5000000	4	18	4450	195248128	20335
21	17	5000000	4	18	4495	195248128	19090
21	17	5000000	4	18	4431	203636736	19273
21	17	5000000	4	18	4445	203636736	19934
21	17	5000000	4	18	4428	195248128	20657
21	17	5000000	4	18	4448	203636736	19850
21	17	5000000	4	18	4445	195248128	20306
21	17	5000000	4	18	4424	195248128	20863
21	17	5000000	4	18	4445	195248128	20441
21	17	5000000	4	18	4442	195248128	20835
21	17	5000000	4	18	4427	195248128	20829
21	17	5000000	4	18	4432	195248128	20878
21	17	5000000	4	18	4426	195248128	20869
21	17	5000000	4	18	4446	195248128	20799
21	17	5000000	4	18	4451	195248128	20833
21	17	5000000	4	18	4426	195248128	20844
21	17	5000000	4	18	4452	203636736	20796
21	17	5000000	4	18	4451	203636736	20730
21	17	5000000	4	18	4431	203636736	19835
21	17	5000000	4	18	4425	195248128	20645
21	17	5000000	4	18	4458	203636736	19852
21	17	5000000	4	18	4428	203636736	19933
21	17	5000000	4	18	4429	195248128	20435
21	17	5000000	4	18	4444	195248128	20729
21	17	5000000	4	18	4431	203636736	19747
21	18	5000000	4	18	2878	212025344	22516
21	18	5000000	4	18	2881	212025344	22021
21	18	5000000	4	18	2881	203636736	23617
21	18	5000000	4	18	2886	203636736	24375
21	18	5000000	4	18	2934	195248128	23018
21	18	5000000	4	18	2883	203636736	24306
21	18	5000000	4	18	2887	212025344	22423
21	18	5000000	4	18	2892	203636736	24052
21	18	5000000	4	18	2886	203636736	24108
21	18	5000000	4	18	2883	203636736	24115
21	18	5000000	4	18	2886	203636736	23492
21	18	5000000	4	18	2887	203636736	24235
21	18	5000000	4	18	2901	203636736	22330
21	18	5000000	4	18	2885	203636736	24349
21	18	5000000	4	18	2936	195248128	22748
21	18	5000000	4	18	2885	203636736	23963
21	18	5000000	4	18	2884	203636736	23630
21	18	5000000	4	18	2889	203636736	23986
21	18	5000000	4	18	2888	203636736	23521
21	18	5000000	4	18	2886	212025344	22365
21	18	5000000	4	18	2901	203636736	22620
21	18	5000000	4	18	2883	212025344	22737
21	18	5000000	4	18	2887	212025344	22133
21	18	5000000	4	18	2879	203636736	24457
21	18	5000000	4	18	2885	203636736	24056
21	18	5000000	4	18	2887	212025344	22530
21	18	5000000	4	18	2890	203636736	24148
21	18	5000000	4	18	2885	212025344	22676
21	18	5000000	4	18	2881	203636736	24060
21	18	5000000	4	18	2886	203636736	24446
21	19	5000000	4	18	1738	212025344	25891
21	19	5000000	4	18	1735	212025344	25038
21	19	5000000	4	18	1794	195248128	24593
21	19	5000000	4	18	1735	220413952	26686
21	19	5000000	4	18	1743	203636736	25854
21	19	5000000	4	18	1746	203636736	25250
21	19	5000000	4	18	1733	220413952	26604
21	19	5000000	4	18	1733	220413952	26489
21	19	5000000	4	18	1739	212025344	24783
21	19	5000000	4	18	1744	203636736	25523
21	19	5000000	4	18	1756	203636736	24517
21	19	5000000	4	18	1746	203636736	24843
21	19	5000000	4	18	1753	203636736	24454
21	19	5000000	4	18	1734	220413952	26569
21	19	5000000	4	18	1739	212025344	24921
21	19	5000000	4	18	1755	203636736	24494
21	19	5000000	4	18	1743	203636736	25570
21	19	5000000	4	18	1739	212025344	25235
21	19	5000000	4	18	1736	212025344	25062
21	19	5000000	4	18	1752	203636736	25294
21	19	5000000	4	18	1753	203636736	24352
21	19	5000000	4	18	1735	220413952	25856
21	19	5000000	4	18	1735	220413952	25872
21	19	5000000	4	18	1734	212025344	25296
21	19	5000000	4	18	1746	203636736	25835
21	19	5000000	4	18	1739	212025344	25127
21	19	5000000	4	18	1734	220413952	26817
21	19	5000000	4	18	1734	212025344	25562
21	19	5000000	4	18	1759	203636736	24865
21	19	5000000	4	18	1732	228802560	25760
21	16	5000000	4	19	6176	195248128	16773
21	16	5000000	4	19	6169	195248128	16985
21	16	5000000	4	19	6209	195248128	17205
21	16	5000000	4	19	6178	195248128	17454
21	16	5000000	4	19	6216	195248128	16911
21	16	5000000	4	19	6250	195248128	16111
21	16	5000000	4	19	6192	195248128	16997
21	16	5000000	4	19	6179	195248128	17236
21	16	5000000	4	19	6181	195248128	16511
21	16	5000000	4	19	6204	195248128	16437
21	16	5000000	4	19	6192	195248128	16317
21	16	5000000	4	19	6239	195248128	16672
21	16	5000000	4	19	6177	195248128	17155
21	16	5000000	4	19	6193	195248128	16788
21	16	5000000	4	19	6195	195248128	16729
21	16	5000000	4	19	6168	195248128	17257
